"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"687","Tiruchirappalli","Tamil Nadu","RAGHAVAN.R","M","GEN",52,"ABHM",937,19,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"688","Tiruchirappalli","Tamil Nadu","NEELAMEGAM.M","M","GEN",51,"SP",872,20,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"689","Tiruchirappalli","Tamil Nadu","GUNASEKARAN.K","M","GEN",59,"AIVP",730,21,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"690","Tiruchirappalli","Tamil Nadu","VELMANI. P","M","SC",29,"IND",638,22,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"691","Tiruchirappalli","Tamil Nadu","URUMAIYAH.N","M","SC",54,"IND",588,23,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"692","Tiruchirappalli","Tamil Nadu","BABY KAMITHA BANU.M","F","GEN",35,"IND",532,24,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"693","Tirunelveli","Tamil Nadu","RAMASUBBU S","M","GEN",59,"INC",274932,1,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"694","Tirunelveli","Tamil Nadu","ANNAMALAI K","M","GEN",61,"ADMK",253629,2,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"695","Tirunelveli","Tamil Nadu","MICHAEL RAYAPPAN S","M","GEN",46,"DMDK",94562,3,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"696","Tirunelveli","Tamil Nadu","NAGARAJAN, KARU","M","GEN",51,"BJP",39997,4,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
