,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex.Ratio..per.1000.,Average.Literacy,Incumbency,Education,Total.Assets,Women,Winner,Criminal.Case,SeriousCrime
81,Aonla,Uttar Pradesh,TIKA RAM SAHU,M,GEN,35,CPI,14072,5,705013,1310878,13,53.78174018,4448359,2830768,1536534,887,58.49,0,Graduate,1061273,0,0,0,0
82,Aonla,Uttar Pradesh,DEEN DAYAL,M,GEN,68,JKM,4891,7,705013,1310878,13,53.78174018,4448359,2830768,1536534,887,58.49,0,8th Pass,10420644,0,0,1,0
83,Aonla,Uttar Pradesh,WASI AHMAD,M,GEN,51,MMUP,3727,10,705013,1310878,13,53.78174018,4448359,2830768,1536534,887,58.49,0,Not Given,7320169,0,0,0,0
84,Aonla,Uttar Pradesh,PRITHVI NATH SINGH SONKAR,M,SC,48,IJP,2779,11,705013,1310878,13,53.78174018,4448359,2830768,1536534,887,58.49,0,Post Graduate,23233800,0,0,0,0
85,Aonla,Uttar Pradesh,SWAMI DR.LAXMI NARAYANACHARYA,M,GEN,49,BDBP,2217,12,705013,1310878,13,53.78174018,4448359,2830768,1536534,887,58.49,0,Doctorate,400100,0,0,0,0
86,Aonla,Uttar Pradesh,MUSHTAQ AHMAD,M,GEN,33,NELU,1998,13,705013,1310878,13,53.78174018,4448359,2830768,1536534,887,58.49,0,Post Graduate,781807,0,0,0,0
87,Azamgarh,Uttar Pradesh,RAMAKANT YADAV,M,GEN,49,BJP,247648,1,705002,1578854,16,44.65276713,4613913,3878626,718692,1019,70.93,0,10th Pass,24494000,0,1,11,1
88,Azamgarh,Uttar Pradesh,AKBAR AHMAD DUMPY,M,GEN,57,BSP,198609,2,705002,1578854,16,44.65276713,4613913,3878626,718692,1019,70.93,1,Graduate,29035830,0,0,3,1
89,Azamgarh,Uttar Pradesh,DURGA PRASAD YADAV,M,GEN,56,SP,123844,3,705002,1578854,16,44.65276713,4613913,3878626,718692,1019,70.93,0,Graduate Professional,15180000,0,0,0,0
90,Azamgarh,Uttar Pradesh,SANTOSH KUMAR SINGH,M,GEN,49,INC,31159,5,705002,1578854,16,44.65276713,4613913,3878626,718692,1019,70.93,0,Doctorate,12722055,0,0,0,0
