"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"863","Lucknow","Uttar Pradesh","DR. AKHILESH DAS GUPTA","M","GEN",48,"BSP",133610,3,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
"864","Lucknow","Uttar Pradesh","NAFISA ALI SODHI","F","GEN",52,"SP",61457,4,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
"865","Lucknow","Uttar Pradesh","AMRESH MISHRA","M","GEN",43,"IND",3486,5,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
"866","Lucknow","Uttar Pradesh","RAJESH KUMAR PANDEY","M","GEN",40,"AITC",2164,6,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
"867","Lucknow","Uttar Pradesh","ANUPAM MISHRA","M","GEN",37,"SWPI",1230,7,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
"868","Lucknow","Uttar Pradesh","RAJIV RANJAN TIWARI @ RAJ BIHARI","M","GEN",29,"IND",1224,8,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
"869","Lucknow","Uttar Pradesh","RAVI SHANKAR BHARAT","M","GEN",28,"BPD",960,9,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
"870","Lucknow","Uttar Pradesh","CHANDRA BHUSHAN PANDEY (C.B.PANDEY)","M","GEN",60,"IND",859,10,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
"871","Lucknow","Uttar Pradesh","DR.KHAN MOHMAD ATIF","M","GEN",64,"MMUP",717,11,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
"872","Lucknow","Uttar Pradesh","KEDAR MAL AGRAWAL","M","GEN",55,"IND",616,12,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
